Mouse ID,Sex,Arrival Date or DOB,Age at Arrival (weeks),Procedure Date,Age at Procedure (weeks),Procedure,Study,Surgeon,Housing,Euthanasia,Time Alive (days),Surgery Start Time (HH:MM:SS),Surgery End Time (HH:MM:SS),Surgery Duration (HH:MM:SS),Body Temp (Â°C)
M=18/021,Male,29/08/2018,,02/07/2019,44,ip injection,Aged,Andrea,group,04/07/2019,2,NA,NA,NA,
M=18/022,Male ,29/08/2018,,02/07/2019,44,ip injection,Aged,Andrea,group,04/07/2019,2,NA,NA,NA,
M=22/03 #01,Male,22/03/2019,58,27/06/2019,72,pMCAO,Aged,Andrea,single,04/07/2019,7,09:50:00,10:49:00,59:00,
M=22/03 #02,Male,22/03/2019,58,01/07/2019,72,pMCAO,Aged,Andrea,single,08/07/2019,7,15:12:00,16:00:00,48:00,
M=22/03 #03,Male,22/03/2019,58,28/06/2019,72,pMCAO,Aged,Andrea,group,05/07/2019,7,09:25:00,10:20:00,55:00,
M=22/03 #04,Male,22/03/2019,58,28/06/2019,72,pMCAO,Aged,Andrea,group,05/07/2019,7,10:22:00,11:05:00,43:00,
M=22/03 #05,Male,22/03/2019,58,27/06/2019,72,pMCAO,Aged,Andrea,group,27/06/2019,0,11:05:00,12:00:00,55:00,
M=22/03 #06,Male,22/03/2019,58,27/06/2019,72,pMCAO,Aged,Andrea,group,04/07/2019,7,12:20:00,13:05:00,45:00,
M=22/03 #07,Male,22/03/2019,58,27/06/2019,72,pMCAO,Aged,Andrea,group,04/07/2019,7,13:10:00,14:05:00,55:00,
M=22/03 #08,Male,22/03/2019,58,28/06/2019,72,pMCAO,Aged,Andrea,group,05/07/2019,7,11:20:00,12:30:00,10:00,
M=22/03 #09,Male,22/03/2019,58,28/06/2019,72,pMCAO,Aged,Andrea,group,03/07/2019,5,14:40:00,15:11:00,31:00,
M=22/03 #10,Male,22/03/2019,58,28/06/2019,72,pMCAO,Aged,Andrea,group,05/07/2019,7,15:15:00,16:00:00,45:00,
M=22/03 #11,Male,22/03/2019,58,01/07/2019,72,pMCAO,Aged,Andrea,group,08/07/2019,7,10:00:00,10:35:00,35:00,
M=22/03 #12,Male,22/03/2019,58,01/07/2019,72,pMCAO,Aged,Andrea,group,08/07/2019,7,10:35:00,11:25:00,50:00,
M=22/03 #13,Male,22/03/2019,58,01/07/2019,72,pMCAO,Aged,Andrea,group,08/07/2019,7,11:32:00,12:11:00,39:00,
M=22/03 #14,Male,22/03/2019,58,02/07/2019,73,pMCAO,Aged,Andrea,group,09/07/2019,7,10:17:00,10:58:00,41:00,
M=22/03 #15,Male,22/03/2019,58,02/07/2019,73,pMCAO,Aged,Andrea,group,09/07/2019,7,11:00:00,11:30:00,30:00,
M=22/03 #16,Male,22/03/2019,58,02/07/2019,73,pMCAO,Aged,Andrea,group,09/07/2019,7,11:34:00,12:06:00,32:00,
M=22/03 #18,Male,22/03/2019,58,01/07/2019,72,pMCAO,Aged,Andrea,group,05/07/2019,4,13:30:00,14:13:00,43:00,
M=22/03 #19,Male,22/03/2019,58,01/07/2019,72,pMCAO,Aged,Andrea,group,08/07/2019,7,14:16:00,15:02:00,46:00,
M=22/03 #20,Male,22/03/2019,58,02/07/2019,73,pMCAO,Aged,Andrea,group,09/07/2019,7,12:45:00,13:34:00,49:00,
M=22/03 #21,Male,22/03/2019,58,02/07/2019,73,pMCAO,Aged,Andrea,group,09/07/2019,7,13:36:00,14:18:00,42:00,
M=22/03 #22,Male,22/03/2019,58,02/07/2019,73,pMCAO,Aged,Andrea,group,09/07/2019,7,14:20:00,15:34:00,14:00,
M=22/03 #23,Male,22/03/2019,58,03/07/2019,73,pMCAO,Aged,Andrea,group,10/07/2019,7,14:00:00,14:33:00,33:00,
M=22/03 #24,Male,22/03/2019,58,03/07/2019,73,pMCAO,Aged,Andrea,group,10/07/2019,7,14:35:00,15:12:00,37:00,
M=22/03 #25,Male,22/03/2019,58,03/07/2019,73,pMCAO,Aged,Andrea,group,03/07/2019,0,15:17:00,15:55:00,38:00,
M=22/03 #27,Male,22/03/2019,58,04/07/2019,73,pMCAO,Aged,Andrea,group,11/07/2019,7,15:05:00,15:40:00,35:00,
M=22/03 #28,Male,22/03/2019,58,04/07/2019,73,pMCAO,Aged,Andrea,group,11/07/2019,7,15:44:00,16:08:00,24:00,
M=22/03 #29,Male,22/03/2019,58,04/07/2019,73,pMCAO,Aged,Andrea,group,11/07/2019,7,11:45:00,12:20:00,35:00,
M=22/03 #30,Male,22/03/2019,58,04/07/2019,73,pMCAO,Aged,Andrea,group,11/07/2019,7,12:26:00,13:00:00,34:00,
M=22/03 #31,Male,22/03/2019,58,05/07/2019,73,pMCAO,Aged,Andrea,group,07/07/2019,2,14:16:00,14:53:00,37:00,
M=22/03 #32,Male,22/03/2019,58,05/07/2019,73,pMCAO,Aged,Andrea,group,12/07/2019,7,14:55:00,15:30:00,35:00,
M=22/03 #33,Male,22/03/2019,58,05/07/2019,73,pMCAO,Aged,Andrea,single,12/07/2019,7,15:33:00,16:10:00,37:00,
